"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","BOOK","2019","12","1","Twinsight : a guide to raising emotionally healthy twins : with advice from the experts (academics) and the real experts (twins) / Dara Lovitz.","Lovitz, Dara","Twins, Child rearing","Familius,","[2018]"
"Digital","OverDrive","AUDIOBOOK","2019","12","7","The Pearl (Unabridged)","John Steinbeck","Classic Literature, Fiction, Literature","Books on Tape","2011"
"Physical","Horizon","VIDEODISC","2019","12","1","The two brothers : a story from Russia / a Dave Edwards Studio Production for Children's Television Trust International ; screenplay, Charles Way ; producer and director, Dave Edwards.",,"Folklore Russia Federation Juvenile films, Animated films, Childrens films, Video recordings for the hearing impaired","Schlessinger Media,","[2005]"
"Digital","OverDrive","AUDIOBOOK","2019","12","1","Rabid: A Cultural History of the World's Most Diabolical Virus (unabridged) (Unabridged)","Bill Wasik","History, Medical, Nonfiction, Science","Blackstone Audio, Inc.","2012"
"Digital","OverDrive","EBOOK","2019","12","5","One Summer Weekend: Cedar Street Series, Book 1","Shannon Stacey","Fiction, Humor (Fiction), Literature, Romance","Carina Press","2019"
"Physical","Horizon","BOOK","2019","12","1","Pozhaluĭsta, tolʹko zhivi! / Olʹga Karpovich.","Karpovich, Olʹga","Man woman relationships Russia Federation Fiction, Romance fiction","Ėksmo,","2016."
"Digital","OverDrive","EBOOK","2019","12","1","Dirty Rich One Night Stand: Two Years Later: Dirty Rich, #6","Lisa Renee Jones","Fiction, Romance","Draft2Digital, LLC","2019"
"Physical","Horizon","BOOK","2019","12","25","Big Nate : genius mode / Lincoln Peirce.","Peirce, Lincoln","Big Nate Comic books strips etc, Middle schools Comic books strips etc, Schools Comic books strips etc, Study skills Comic books strips etc, Cartoons and comics, Graphic novels, Comic books strips etc","Harper,","[2013]"
"Digital","OverDrive","AUDIOBOOK","2019","12","2","The Fall of Princes (Unabridged)","Robert Goolrick","Fiction, Literature","HighBridge Company","2015"
"Physical","Horizon","BOOK","2019","12","2","The restoration of the self / Heinz Kohut.","Kohut, Heinz","Self, Psychoanalysis","The University of Chicago Press,","[2009]"
"Physical","Horizon","BOOK","2019","12","8","One more river to cross / Jane Kirkpatrick.","Kirkpatrick, Jane, 1946-","Survival Fiction, Christian fiction, Historical fiction","Revell, a division of Baker Publishing Group,","[2019]"
"Physical","Horizon","BOOK","2019","12","2","American libraries 1730-1950 / Kenneth Breisch.","Breisch, Kenneth A.","Library architecture United States History, Libraries United States History, Library buildings United States History","W. W. Norton & Company, Inc. ; Library of Congress,","[2017]"
"Digital","OverDrive","AUDIOBOOK","2019","12","1","Bond Girl (Unabridged)","Erin Duffy","Fiction, Romance","Dreamscape Media, LLC","2012"
"Physical","Horizon","BOOK","2019","12","3","The power of the Master Mind / by Mitch Horowitz ; inspired by the teachings of Napoleon Hill.","Horowitz, Mitch","Self actualization Psychology, Success","Gildan Media LLC,","2019."
"Physical","Horizon","VIDEODISC","2019","12","4","Resolution / Tribeca Film ; producers, Justin Benson, David Lawson ; writers, Justin Benson, Aaron Scott Moorhead ; director, Justin Benson.",,"Methamphetamine Drama, Addicts Drama, Indian reservations Drama, Apparitions Drama, Feature films, Horror films, Fiction films, Video recordings for the hearing impaired","Cinedigm Entertainment,","[2013]"
"Physical","Horizon","BOOK","2019","12","1","Lady Chatterley's lover ; A propos of ""Lady Chatterley's lover"" / D.H. Lawrence ; edited with an introduction and notes by Michael Squires.","Lawrence, D. H. (David Herbert), 1885-1930","Married women Fiction, Gamekeepers Fiction, Adultery Fiction, England Fiction, Erotic fiction","Penguin Books,","1994."
"Physical","Horizon","VIDEODISC","2019","12","1","By Brakhage : an anthology / producers, Peter Becker, Kate Elmore.",,"Brakhage Stan, Motion picture film collections United States, Experimental films","Criterion Collection,","[2003]"
"Digital","OverDrive","EBOOK","2019","12","1","Sunshine in the Dragon's Heart","Jaime Samms","Fantasy, Fiction, Romance","Dreamspinner Press","2019"
"Physical","Horizon","BOOK","2019","12","18","You are new / by Lucy Knisley.","Knisley, Lucy","Infants Juvenile fiction, Experience in children Juvenile fiction, Growth Juvenile fiction, Stories in rhyme, Babies Fiction, Growth Fiction, Picture books","Chronicle Books LLC,","[2019]"
"Physical","Horizon","VIDEODISC","2019","12","3","The Johnny Cash Christmas special 1977 / Country Music Foundation.",,"Country music, Christmas television programs, Concert television programs","Distributed by Sony BMG Music Entertainment,","[2007]"
"Digital","OverDrive","VIDEO","2019","12","1","The Secrets","Avi Nesher","Drama, Feature Film, Foreign Film","monterey media inc.","2010"
"Physical","Horizon","BOOK","2019","12","1","Jack-'o-lanterns / by Megan Cooley Peterson.","Peterson, Megan Cooley","Jack o lanterns Juvenile literature, Halloween Juvenile literature","Capstone Press,","[2014]"
"Physical","Horizon","BOOK","2019","12","1","The man who wouldn't die : a novel / A. B. Jewell.","Jewell, A. B.","Murder Investigation Fiction, Future life Fiction, Santa Clara Valley Santa Clara County Calif Fiction, Detective and mystery fiction, Noir fiction","William Morrow, an imprint of HarperCollinsPublishers,","[2019]"
"Physical","Horizon","BOOK","2019","12","8","They will have to die now : Mosul and the fall of the caliphate / James Verini.","Verini, James","IS Organization, Mosul Iraq Politics and government 21st century, Iraq Politics and government 2003","W.W. Norton & Company, Inc.,","[2019]"
"Physical","Horizon","BOOK","2019","12","1","Berkeley's barn owl dance / written by Tera Johnson ; illustrated by Tania Howells.","Johnson, Tera","Barn owl Juvenile fiction, Courage Juvenile fiction, Voyages and travels Juvenile fiction","Kids Can Press,","[2008]"
"Physical","Horizon","BOOK","2019","12","1","Henry Hyena, why won't you laugh? / written by Doug Jantzen ; illustrated by Jean Claude.","Jantzen, Douglas","Laughter Juvenile fiction, Hyenas Juvenile fiction, Zoo animals Juvenile fiction, Zoos Juvenile fiction, Stories in rhyme","Aladdin,","2015."
"Digital","OverDrive","EBOOK","2019","12","9","I Hate You—Don't Leave Me: Understanding the Borderline Personality","Jerold J. Kreisman","Nonfiction, Psychology","Penguin Group (USA), Inc.","2013"
"Physical","Horizon","VIDEODISC","2019","12","8","Looney tunes golden collection. Volume 5 / Warner Bros. Pictures ; produced by Leon Schlesinger ...[and others].",,"Bugs Bunny Fictitious character Drama, Daffy Duck Fictitious character Drama, Porky Pig Fictitious character Drama, Short films, Animated films, Video recordings for the hearing impaired","Warner Home Video,","2007."
